geoid,geoid20,year,denom_total_pop,lowaccess_count,lowaccess_li_count,lowaccess_kids_count,lowaccess_seniors_count
1400000US06037553602,6037553602,2015,4730,0,0,0,0
1400000US06037553701,6037553701,2015,4176,0,0,0,0
1400000US06037553702,6037553702,2015,5236,0,0,0,0
1400000US06037553801,6037553801,2015,4174,0,0,0,0
1400000US06037553802,6037553802,2015,6303,0,0,0,0
1400000US06037553901,6037553901,2015,6896,0,0,0,0
1400000US06037553902,6037553902,2015,5804,0,0,0,0
1400000US06037554001,6037554001,2015,4171,0,0,0,0
1400000US06037554002,6037554002,2015,5659,0,0,0,0
1400000US06037554101,6037554101,2015,3799,0,0,0,0
1400000US06037554105,6037554105,2015,4569,0,0,0,0
1400000US06037554106,6037554106,2015,4172,0,0,0,0
1400000US06037554201,6037554201,2015,4108,0,0,0,0
1400000US06037554203,6037554203,2015,3689,0,0,0,0
1400000US06037554204,6037554204,2015,4391,0,0,0,0
1400000US06037554301,6037554301,2015,3554,0,0,0,0
1400000US06037554302,6037554302,2015,3915,0,0,0,0
1400000US06037554403,6037554403,2015,5462,0,0,0,0
1400000US06037554404,6037554404,2015,4443,0,0,0,0
1400000US06037554405,6037554405,2015,3040,0,0,0,0
1400000US06037554406,6037554406,2015,4875,758,150,175,92
1400000US06037554511,6037554511,2015,4027,0,0,0,0
1400000US06037554512,6037554512,2015,6108,0,0,0,0
1400000US06037554513,6037554513,2015,2507,0,0,0,0
1400000US06037554514,6037554514,2015,4322,0,0,0,0
1400000US06037554515,6037554515,2015,3703,0,0,0,0
1400000US06037554516,6037554516,2015,3902,0,0,0,0
1400000US06037554517,6037554517,2015,4883,0,0,0,0
1400000US06037554518,6037554518,2015,5433,0,0,0,0
1400000US06037554519,6037554519,2015,3610,0,0,0,0
1400000US06037554521,6037554521,2015,5750,237,34,45,43
1400000US06037554522,6037554522,2015,4787,0,0,0,0
1400000US06037554600,6037554600,2015,4360,0,0,0,0
1400000US06037554700,6037554700,2015,4874,0,0,0,0
1400000US06037554801,6037554801,2015,3364,0,0,0,0
1400000US06037554802,6037554802,2015,6165,0,0,0,0
1400000US06037554900,6037554900,2015,6991,0,0,0,0
1400000US06037555001,6037555001,2015,5411,0,0,0,0
1400000US06037555002,6037555002,2015,3475,0,0,0,0
1400000US06037555105,6037555105,2015,4935,0,0,0,0
1400000US06037555106,6037555106,2015,4002,0,0,0,0
1400000US06037555107,6037555107,2015,6084,0,0,0,0
1400000US06037555202,6037555202,2015,3397,0,0,0,0
1400000US06037555211,6037555211,2015,5766,0,0,0,0
1400000US06037555212,6037555212,2015,5032,0,0,0,0
1400000US06037555300,6037555300,2015,5390,0,0,0,0
1400000US06037570001,6037570001,2015,4463,0,0,0,0
1400000US06037570002,6037570002,2015,2699,0,0,0,0
1400000US06037570003,6037570003,2015,4443,0,0,0,0
1400000US06037570100,6037570100,2015,2829,0,0,0,0
1400000US06037570202,6037570202,2015,6415,0,0,0,0
1400000US06037570203,6037570203,2015,3973,0,0,0,0
1400000US06037570204,6037570204,2015,4130,0,0,0,0
1400000US06037570303,6037570303,2015,4247,0,0,0,0
1400000US06037570304,6037570304,2015,5171,0,0,0,0
1400000US06037570305,6037570305,2015,4493,0,0,0,0
1400000US06037570306,6037570306,2015,2837,0,0,0,0
1400000US06037570402,6037570402,2015,3470,0,0,0,0
1400000US06037570403,6037570403,2015,4586,0,0,0,0
1400000US06037570404,6037570404,2015,3501,0,0,0,0
1400000US06037570502,6037570502,2015,6616,0,0,0,0
1400000US06037570503,6037570503,2015,2691,0,0,0,0
1400000US06037570504,6037570504,2015,4728,0,0,0,0
1400000US06037570601,6037570601,2015,5421,0,0,0,0
1400000US06037570602,6037570602,2015,6356,0,0,0,0
1400000US06037570603,6037570603,2015,4435,0,0,0,0
1400000US06037570701,6037570701,2015,6569,0,0,0,0
1400000US06037570703,6037570703,2015,3463,0,0,0,0
1400000US06037570800,6037570800,2015,5522,0,0,0,0
1400000US06037570901,6037570901,2015,5647,0,0,0,0
1400000US06037570902,6037570902,2015,3616,0,0,0,0
1400000US06037571000,6037571000,2015,5747,0,0,0,0
1400000US06037571101,6037571101,2015,4574,0,0,0,0
1400000US06037571102,6037571102,2015,3877,0,0,0,0
1400000US06037571201,6037571201,2015,3895,10,2,2,1
1400000US06037571202,6037571202,2015,3903,10,2,2,1
1400000US06037571300,6037571300,2015,4414,0,0,0,0
1400000US06037571400,6037571400,2015,4246,0,0,0,0
1400000US06037571502,6037571502,2015,4661,0,0,0,0
1400000US06037571504,6037571504,2015,4626,0,0,0,0
1400000US06037571505,6037571505,2015,2670,0,0,0,0
1400000US06037571600,6037571600,2015,2039,0,0,0,0
1400000US06037571701,6037571701,2015,6384,0,0,0,0
1400000US06037571703,6037571703,2015,3667,0,0,0,0
1400000US06037571704,6037571704,2015,4107,0,0,0,0
1400000US06037571800,6037571800,2015,3310,12,4,3,1
1400000US06037571900,6037571900,2015,5481,0,0,0,0
1400000US06037572001,6037572001,2015,5830,0,0,0,0
1400000US06037572201,6037572201,2015,6197,0,0,0,0
1400000US06037572202,6037572202,2015,3606,0,0,0,0
1400000US06037572301,6037572301,2015,3795,95,22,27,9
1400000US06037572500,6037572500,2015,3365,0,0,0,0
1400000US06037572600,6037572600,2015,5370,0,0,0,0
1400000US06037572700,6037572700,2015,5499,0,0,0,0
1400000US06037573002,6037573002,2015,3990,0,0,0,0
1400000US06037573003,6037573003,2015,1802,0,0,0,0
1400000US06037573004,6037573004,2015,5153,0,0,0,0
1400000US06037573101,6037573101,2015,3163,0,0,0,0
1400000US06037573102,6037573102,2015,4002,0,0,0,0
1400000US06037573201,6037573201,2015,4927,0,0,0,0
1400000US06037573202,6037573202,2015,6230,0,0,0,0
1400000US06037573300,6037573300,2015,4310,0,0,0,0
1400000US06037573401,6037573401,2015,1432,0,0,0,0
1400000US06037573402,6037573402,2015,6426,0,0,0,0
1400000US06037573403,6037573403,2015,3179,0,0,0,0
1400000US06037573601,6037573601,2015,6162,413,36,89,51
1400000US06037573700,6037573700,2015,4538,0,0,0,0
1400000US06037573800,6037573800,2015,4284,0,0,0,0
1400000US06037573902,6037573902,2015,2076,0,0,0,0
1400000US06037574000,6037574000,2015,5277,0,0,0,0
1400000US06037574100,6037574100,2015,5098,0,0,0,0
1400000US06037574201,6037574201,2015,3117,0,0,0,0
1400000US06037574202,6037574202,2015,2133,0,0,0,0
1400000US06037574300,6037574300,2015,5774,0,0,0,0
1400000US06037574400,6037574400,2015,5141,0,0,0,0
1400000US06037574500,6037574500,2015,6356,5241,1109,1161,871
